## estimating stoichiometry by averages across cell lines (not very clean... ):
# - RAD21: 70 TPM, https://www.proteinatlas.org/ENSG00000164754-RAD21/tissue
# - PDS5B: 10 TPM, https://www.proteinatlas.org/ENSG00000083642-PDS5B/tissue 
# - PDS5A: 20 TPM, https://www.proteinatlas.org/ENSG00000121892-PDS5A/tissue
# - NIPBL: 10 TPM, https://www.proteinatlas.org/ENSG00000164190-NIPBL/tissue
# - WAPL: 30 TPM, https://www.proteinatlas.org/ENSG00000062650-WAPL/tissue
## estimating stoichiometry by direct quantification
# - RAD21:NIPBL ~ 292:163 (https://doi.org/10.7554/eLife.46269, Table 2)
# - RAD21:WAPL ~ 292:100 (https://doi.org/10.7554/eLife.46269, Table 2)
# - RAD21:NIPBL ~ 7:2, Rhodes, 2017 HeLa, imaging
"parameter","value","comment"
"tau_N", 80., "NIPBL residence time in s set based on FRAP recovery half-life (https://doi.org/10.7554/eLife.30000 Fig. 1g)"
"F_N", 0.4, "NIPBL chromatin occupancy (https://doi.org/10.7554/eLife.30000 Fig. 6c)"
"N_N", 163., "NIPBL abundance in kmol (https://doi.org/10.7554/eLife.46269 Table 2)"
"tau_P", 70., "PDS5 residence time (https://doi.org/10.15252/embj.201592532 Fig. EV3d)"
"F_P", 0.45, "PDS5 chromatin occupancy (https://doi.org/10.15252/embj.201592532 Fig. EV3c)"
"N_P", 133.5, "set by estimated PDS5:RAD21 stoichiometry"
"tau_W", 45., "WAPL residence time (https://doi.org/10.15252/embj.201592532 Fig. EV3d)"
"F_W", 0.35, "WAPL chromatin occupancy (https://doi.org/10.15252/embj.201592532 Fig. EV3c)"
"N_W", 100., "WAPL abundance (https://doi.org/10.7554/eLife.46269 Table 2)"
"tau_R", 1320., "RAD21 residence time (https://doi.org/10.7554/eLife.25776)"
"F_R", 0.65, "RAD21 chromatin occupancy (https://doi.org/10.7554/eLife.25776)"
"N_R", 292. , "RAD21 abundance (https://doi.org/10.7554/eLife.46269 Table 2)"


